author,title
"Brett Stevens, Jennifer Jerrams-Smith",The Sense of Object-Presence with Projection-Augmented Models.
"Ben P. Challis, Alistair D. N. Edwards",Design Principles for Tactile Interaction.
"Giovanni Bricconi, Emma Tracanella, Elisabetta Di Nitto, Alfonso Fuggetta",Analyzing the Behavior of Event Dispatching Systems through Simulation.
"Chang-Sung Jeong, Sun-Chul Hwang, Woo Young Jung, Sun-Mi Kim",Parallel Congruent Regions on a Mesh-Connected Computer.
"Lisa Higham, Jalal Kawash",Memory Consistency and Process Coordination for SPARC Multiprocessors.
"Anjaneya R. Chagam, Partha Dasgupta, Rajkumar Khandelwal, Shashi P. Reddy, Shantanu Sardesai",Experiments with the CHIME Parallel Processing System.
"M. Jahed Djomehri, Rupak Biswas, Rob F. Van der Wijngaart, Maurice Yarrow",Parallel and Distributed Computational Fluid Dynamics: Experimental Results and Challenges.
"Alan A. Bertossi, Alessandro Mei",Optimal Segmented Scan and Simulation of Reconfigurable Architectures on Fixed Connection Networks.
"Wael M. Badawy, Magdy A. Bayoumi",Low Power Video Object Motion-Tracking Architecture for Very Low Bit Rate Online Video Applications.
"Yoochang Jung, Stefan G. Berg, Donglok Kim, Yongmin Kim",A Register File with Transposed Access Mode.
"Alfredo Benso, Stefano Di Carlo, Silvia Chiusano, Paolo Prinetto, Fabio Ricciato, Monica Lobetti Bodoni, Maurizio Spadari",On Integrating a Proprietary and a Commercial Architecture for Optimal BIST Performances in SoCs.
"Mark Oskin, Diana Keen, Justin Hensley, Lucian Vlad Lita, Frederic T. Chong",Reducing Cost and Tolerating Defects in Page-based Intelligent Memory.
"Simon W. Moore, George S. Taylor, P. A. Cunningham, Robert D. Mullins, P. Robinson",Self-Calibrating Clocks for Globally Asynchronous Locally Synchronous Systems.
"Srihari Cadambi, Seth Copen Goldstein",Efficient Place and Route for Pipeline Reconfigurable Architectures.
"Nikola Nedovic, Vojin G. Oklobdzija",Dynamic Flip-Flop with Improved Power.
"Praveen Seshadri, Phil Garrett",SQLServer for Windows CE - A Database Engine for Mobile and Embedded Platforms.
"Edith Cohen, Mayur Datar, Shinji Fujiwara, Aristides Gionis, Piotr Indyk, Rajeev Motwani, Jeffrey D. Ullman, Cheng Yang",Finding Interesting Associations without Support Pruning.
"Atul Adya, Barbara Liskov, Patrick E. O'Neil",Generalized Isolation Level Definitions.
"Chang-Shing Perng, Haixun Wang, Sylvia R. Zhang, Douglas Stott Parker Jr.",Landmarks: a New Model for Similarity-based Pattern Querying in Time Series Databases.
"Fei Sha, Georges Gardarin, Laurent Némirovski",A Semi-Structured Data Cartridge for Relational Databases.
"Shinji Fujiwara, Jeffrey D. Ullman, Rajeev Motwani",Dynamic Miss-Counting Algorithms: Finding Implication and Similarity Rules with Confidence Pruning.
"Gösta Grahne, Laks V. S. Lakshmanan, Xiaohong Wang",Efficient Mining of Constrained Correlated Sets.
"Kaushik Chakrabarti, Kriengkrai Porkaew, Sharad Mehrotra",Efficient Query Refinement in Multimedia Databases.
Rajshekhar Sunderraman,ReQueSS: Relational Querying of Semi-Structured Data.
"Gaél De Chalendar, Brigitte Grau, Olivier Ferret",A Cost-Bounded Algorithm to Control Events Generalization.
Felix H. Gatzemeier,"Patterns, Schemata, and Types - Author Support through Formalized Experience."
Guy W. Mineau,The Engineering of a CG-Based System: Fundamental Issues.
"Richard Cole, Gerd Stumme",CEM - A Conceptual Email Manager.
"Olivier Corby, Rose Dieng, Cédric Hébert",A Conceptual Graph Model for W3C Resource Description Framework.
"Alister Hamilton, Peter Thomson, Morgan Tamplin",Experiments in Evolvable Filter Design Using Pulse Based Programmable Analogue VLSI Models.
Francisco Jiménez-Morales,The Evolution of 3-d C. A. to Perform a Collective Behaviour Task.
"Philippe Millet, Jean-Claude Heudin",Comparison between Three Heuristic Algorithms to Repair a Large-Scale MIMD Computer.
"D. W. Bradley, Andrew M. Tyrrell",Immunotronics: Hardware Fault Tolerance Inspired by the Immune System.
"Gregory Hornby, Seiichi Takamura, Osamu Hanagata, Masahiro Fujita, Jordan B. Pollack",Evolution of Controllers from a High-Level Simulator to a High DOF Robot.
"Robert Harper, Benjamin C. Pierce",Advanced module systems: a guide for the perplexed (abstract of invited talk).
"Valery Trifonov, Bratin Saha, Zhong Shao",Fully reflexive intensional type analysis.
"Christian Skalka, Scott F. Smith",Static enforcement of security with types.
"Francisco Casacuberta, Colin De La Higuera",Computational Complexity of Problems on Probabilistic Grammars and Transducers.
"J. D. Emerald, K. G. Subramanian, D. G. Thomas",Inferring Subclasses of Contextual Languages.
"Frank Stephan, Sebastiaan Terwijn",Counting Extensional Differences in BC-Learning.
"Rajesh Parekh, Vasant Honavar",On the Relationship between Models for Learning in Helpful Environments.
"E. B. Bellers, G. de Haan",Towards an Optimal Television Display Format.
"Lei Cao, Chang Wen Chen",A Novel Product Coding and Decoding Scheme for Wireless Image Transmission.
Hirohisa Hioki,Adaptive Light Projection and Highlight Analysis Method for Measuring Three-Dimensional Scene.
Luca Lucchese,A New Method for Perspective View Registration.
"Ming Chen, Xiaoqing Ding, Jian Liang","Analysis, Understanding and Representation of Chinese Newspaper with Complex Layout."
"Peter Harper, Richard B. Reilly",Color Based Video Segmentation Using Level Sets.
"Seungjoon Yang, Yu Hen Hu, Damon L. Tull, Truong Q. Nguyen",Maximum Likelihood Parameter Estimation for Image Ringing Artifact Removal.
"Angel Domingo Sappa, Miguel Angel García, Boris Xavier Vintimilla",Geometric and Topological Lossy Compression of Dense Range Images.
"Kotoko Morikawa, Koichi Ogawa",Comparative Study on Statistical Image Reconstruction Combined with Modification of the Number of Projections.
Kie-Bum Eom,Contour Analysis Using Time-Varying Autoregressive Model.
"Xin Li, Michael T. Orchard",New Edge Directed Interpolation.
"Hae Yong Kim, Paulo S. L. M. Barreto",Fast Binary Image Resolution Increasing by K-Nearest Neighbor Learning.
"Vital C. Ferreira, Nelson D. A. Mascarenhas",Analysis of the Robustness of Iterative Restoration Methods with Respect to Variations of the Point Spread Function.
"Zhen Liu, Lina J. Karam",An Efficient Embedded Zerotree Wavelet Image Codec Based on Intraband Partitioning.
Peter M. Kuhn,Camera Motion Estimation Using Feature Points in MPEG Compressed Domain.
"Zhou Wang, Alan C. Bovik, Brian L. Evans",Blind Measurement of Blocking Artifacts in Images.
"Milind R. Naphade, Thomas S. Huang",Inferring Semantic Concepts for Video Indexing and Retrieval.
"Toshihisa Tanaka, Yukihiko Yamashita",The Orientation Adaptive Lapped Orthogonal Transform for Image Coding.
"T. Blaffert, Sabine Dippel, Martin Stahl, Rafael Wiemker",The Laplace Integral for a Watershed Segmentation.
"Soo-Chang Pei, Yu-Zuong Chou",Efficient and Effective Wipe Detection on MPEG Compressed Video Based on the Macroblock Information.
"Bogdan Raducanu, Manuel Graña",A Grayscale Hit-or-Miss Transform Based on Level Sets.
"Ken Masumitsu, Tomio Echigo",Video Summarization Using Reinforcement Learning in Eigenspace.
"Manuel Graña, Imanol Echave, Jesus Ruiz-Cabello",VQ Based Bayesian Image Filtering.
"Ramesh Neelamani, Robert Nowak, Richard G. Baraniuk",Model-Based Inverse Halftoning with Wavelet-Vaguelette Deconvolution.
"Do Hyun Chung, Guillermo Sapiro",Segmentation-Free Skeletonization of Gray-Scale Images via PDE's.
"Rakesh Kumar, Harpreet S. Sawhney, Y. Guo, Steve Hsu, Supun Samarasekera",3D Manipulation of Motion Imagery.
"Shing-Chow Chan, Heung-Yeung Shum",A Spectral Analysis for Light Field Rendering.
"Steven S. S. Poon, Rabab K. Ward",A Simple and Effective Filter Based on the Rank Difference.
"Yoshiyuki Nyui, Koichi Ogawa, Etsuo Kunieda",Extraction of Arteriovenous Malformation with Factor Analysis.
"Swee-Seong Wong, Wee Kheng Leow",Color Segmentation and Figure-Ground Segregation of Natural Images.
"Peng Wu, B. S. Manjunath, H. D. Shin",Dimensionality Reduction for Image Retrieval.
"Migual Angel García, Boris Xavier Vintimilla",Acceleration of Filtering and Enhancement Operations Through Geometric Processing of Gray-Level Images.
Ricardo L. de Queiroz,On Data-Filling Algorithms for MRC Layers.
"Subramania Sudharsanan, Parthasarathy Sriram, Hans Frederickson, Amit Gulati",Image and Video Processing Using MAJC 5200.
"Derek C. Stanford, James Pitton",Multiresolution Hidden Markov Trees for Analysis of Automatic Target Recognition Algorithms.
"Bei Tang, Guillermo Sapiro, Vincent Caselles",Chromaticity Diffusion.
"Candemir Toklu, Shih-Ping Liou",Image and Audio Sequence Visualization and Interaction Mechanisms for Structured Video Browsing and Editing.
"Kyeong Ho Yang, A. Farid Faryar",A Contex-Based Predictive Coder for Lossless and Near-Lossless Compression of Video.
"Christopher C. Yang, Sai Ho Kwok",Gamut Clipping in Color Image Processing.
"Khaled Z. Abd-Elmoniem, Yasser M. Kadah, Abou-Bakr M. Youssef",Real Time Adaptive Ultrasound Speckle Reduction and Coherence Enhancement.
"Jing-Hao Xue, Su Ruan, Bruno Moretti, Marinette Revenu, Daniel Bloyet, Wilfried Philips",Fuzzy Modeling of Knowledge for MRI Brain Structure Segmentation.
"Yuki Matsuzawa, Itsuo Kumazawa",Object Tracking with Shape Representation NetWork Using Color Information.
"Jean-Philippe Tarel, Frederic Guichard",Combined Dynamic Tracking and Recognition of Curves with Application to Road Detection.
"Shoma Chatterjee, Subhashis Banerjee, K. K. Biswas",Reconstruction of Local Features for Facial Video Compression.
"George J. Foster, Nader M. Namazi",Detection of Non-Uniform Motion in Image Sequences Using a Reduced Order Likelihood Ratio Test.
John G. Apostolopoulos,Error-Resilient Video Compression Through the Use of Multiple States.
"Stefan Horbelt, Philippe Thévenaz, Michael Unser",Texture Mapping by Succesive Refinement.
"Jordi Freixenet, Xavier Lladó, Joan Martí, Xavier Cufí",Use of Decision Trees in Colour Feature Selection. Application to Object Recognition in Outdoor Scenes.
"David Tompa, John Morton, Ed Jernigan",Perceptually Based Image Comparison.
"Nathalie Laurent, Guillaume Robert",Mesh Based Video Coding at Very Low Bitrate.
"Paul W. Fieguth, Riyin Wan",Fast Retrieval Methods for Images with Significant Variations.
"Gang Qian, Qinfen Zheng, Rama Chellappa",Reduction of Inherent Ambiguities in Structure from Motion Problem Using Inertial Data.
"Yan Ping Zhou, Chew Lim Tan",Hough Technique for Bar Charts Detection and Recognition in Document Images.
"Soontorn Oraintara, William Clement Karl, David A. Castañon, Truong Q. Nguyen",A Method for Choosing the Regularization Parameter in Generalized Tikhonov Regularized Linear Inverse Problems.
"Yiyong Sun, Joon Ki Paik, Jeffery R. Price, Mongi A. Abidi",Dense Range Image Smoothing Using Adaptive Regularization.
"Nikos Grammalids, Nikolaos Sarris, C. Varzokas, Michael G. Strintzis",Generation of 3-D Head Models from Multiple Images Using Ellipsoid Approximation for the Rear Part.
"James M. Rehg, Sing Bing Kang, Tat-Jen Cham",Video Editing Using Figure Tracking and Image-Based Rendering.
"Ajay Divakaran, Kadir A. Peker, Huifang Sun",A Region Based Descriptor for Spatial Distribution of Motion Activity for Compressed Video.
"Robert A. Weisenseel, William Clement Karl, David A. Castañon",A Region-Based Alternative for Edge-Preserving Smoothing.
"Jun-Wei Hsieh, W. Eric L. Grimson, Cheng-Chin Chiang, Yea-Shuan Huang",Region-Based Image Retrieval.
"J. T. H. Chung-How, D. R. Bull",Robust H.263+ Video for Real-Time Internet Applications.
"Aymeric Gillet, Ludovic Macaire, Claudine Botte-Lecocq, Jack-Gérard Postaire",Color Image Segmentation Based on Fuzzy Mathematical Morphology.
"Senthil Kumar, Guna Seetharaman",Hierarchical Histograms - A New Representation Scheme for Image-Based Data Retrieval.
"Fabrizio Granelli, Franco Oberti, Carlo S. Regazzoni",Adaptive Post-Processing Error Concealment Based on Feedback from a Video-Surveillance System.
"Min-Jen Tsai, Kuang-Yao Yu, Yi-Zhang Chen",Wavelet Packet and Adaptive Spatial Transformation of Watermark for Digital Image Authentication.
"Hong Shan Neoh, Guillermo Sapiro",Using Anisotropic Diffusion of Probability Maps for Activity Detection in Block-Design Functional MRI.
"F. Jaillet, Y. M. Ghamri Doudane, M. Melkemi, Atilla Baskurt",Adaptive Contour Sampling and Coding Using Skeleton and Curvature.
"Amit Banerjee, Rama Chellappa",Tumor Detection in Digital Mammograms.
"Artyom M. Grigoryan, Sos Agaian",Three Algorithms for Computing the 2-D Discrete Hartley Transform.
"Rutger van Spaendonck, Felix C. A. Fernandes, Mark Coates, S. Sidney Burrus","Non-Redundant, Directionally Selective, Complex Wavelets."
"Ruey-Feng Chang, Wen-Jia Kuo, Hung-Chi Tsai",Image Retrieval on Uncompressed and Compressed Domains.
"James R. Hare, James P. Reilly",The Iterative Deconvolution of Linearly Blurred Images Using Non-Parametric Stabilizing Functions.
"M. K. Lee, S. W. Leung, T. L. Pun, H. L. Cheung",Edge Detection by Genetic Algorithm.
"C. Andrew Segall, Aggelos K. Katsaggelos",Enhancement of Compressed Video Using Visual Quality Measurements.
"Ara V. Nefian, Monson H. Hayes III",Maximum Likelihood Training of the Embedded HMM for Face Detection and Recognition.
"Mani R. Subramani, Eric Walden",Economic returns to firms from business-to-business electronic commerce initiatives: an empirical examination.
"Weidong Xia, Gwanhoo Lee","The influence of persuasion, training and experience on user perceptions and acceptance of IT innovation."
"Allen S. Lee, Michael D. Myers, Guy Paré, Cathy Urquhart, M. Lynne Markus","Three perspectives: if Markus' 1983 classic study, ""power, politics, and MIS implementation, "" were being reviewed today (panel)."
"Christopher C. Yang, Alan Chung",Intelligent agents for retrieving chinese Web financial news.
"Yang W. Lee, Paul L. Bowen, James D. Funk, Matthias Jarke, Stuart E. Madnick, Yair Wand","Data quality in internet time, space, and communities (panel)."
"Jungpil Hahn, Mani R. Subramani",A framework of knowledge management systems: issues and challenges for theory and practice.
Dongfang Zou,Local Subspace Classifier in Reproducing Kernel Hilbert Space.
"Ren-Hua Wang, Qinfeng Liu, Yu Hu, Bo Yin, Xiaoru Wu",KD2000 Chinese Text-To-Speech System.
"Daisuke Shimada, Kunihito Kato, Kazuhiko Yamamoto",A Lock Opening and Closing System with the Image Base Using a Cellular Phone through the Internet.
"Xiangshi Ren, Gao Zhang, Guozhong Dai",An Experimental Study of Input Modes for Multimodal Human-Computer Interaction.
"Hongming Zhang, Debin Zhao, Wen Gao, Xilin Chen",Combining Skin Color Model and Neural Network for Rotation Invariant Face Detection.
"Cheng-Lin Liu, Masashi Koga, Hiroshi Sako, Hiromichi Fujisawa",Aspect Ratio Adaptive Normalization for Handwritten Character Recognition.
"Yuwen He, Li Zhao, Shiqiang Yang, Yuzhuo Zhong",Region-Based Tracking in Video Sequences Using Planar Perspective Models.
Mark A. Hall,Correlation-based Feature Selection for Discrete and Numeric Class Machine Learning.
Nicholas R. Howe,Data as Ensembles of Records: Representation and Comparison.
"Jake D. Brutlag, Christopher Meek",Challenges of the Email Domain for Text Classification.
"Manu Sridharan, Gerald Tesauro",Multi-agent Q-learning and Regression Trees for Automated Pricing Decisions.
"Dragos D. Margineantu, Thomas G. Dietterich",Bootstrap Methods for the Cost-Sensitive Evaluation of Classifiers.
"Jonathan Baxter, Peter L. Bartlett",Reinforcement Learning in POMDP's via Direct Gradient Ascent.
"Jürgen Forster, Manfred K. Warmuth",Relative Loss Bounds for Temporal-Difference Learning.
Michael H. Bowling,Convergence Problems of General-Sum Multiagent Reinforcement Learning.
"Malcolm R. K. Ryan, Mark Reid",Learning to Fly: An Application of Hierarchical Reinforcement Learning.
"Susumu Katayama, Hajime Kimura, Shigenobu Kobayashi",A Universal Generalization for Temporal-Difference Learning Using Haar Basis Functions.
"Doina Precup, Richard S. Sutton, Satinder P. Singh",Eligibility Traces for Off-Policy Policy Evaluation.
"Scott Sanner, John R. Anderson, Christian Lebiere, Marsha C. Lovett",Achieving Efficient and Cognitively Plausible Learning in Backgammon.
"Chris Drummond, Robert C. Holte",Exploiting the Cost (In)sensitivity of Decision Tree Splitting Criteria.
"Mark Craven, David Page, Jude W. Shavlik, Joseph Bockhorst, Jeremy D. Glasner",Using Multiple Levels of Learning and Diverse Evidence to Uncover Coordinately Controlled Genes.
"Ka-Cheong Leung, Victor O. K. Li",Generalized Load Sharing for Packet-Switching Networks.
"Kenneth L. Calvert, Jim Griffioen, Amit Sehgal, Su Wen",Building a Programmable Multiplexing Service Using Concast.
"Xiaobing Zhang, Shyhtsun Felix Wu, Zhi Fu, Tsung-Li Wu",Malicious Packet Dropping: How It Might Impact the TCP Performance and How We Can Detect It.
"Go Hasegawa, Kenji Kurata, Masayuki Murata",Analysis and Improvement of Fairness between TCP Reno and Vegas for Deployment of TCP Vegas to the Internet.
"Adriana Iamnitchi, Ian T. Foster","A Problem-Specific Fault-Tolerance Mechanism for Asynchronous, Distributed Systems."
"Victor Kim, Prithviraj Banerjee, Kaushik De",Fine-Grained Parallel VLSI Synthesis for Commercial CAD on a Network of Workstations.
"Koji Nakano, Stephan Olariu, Albert Y. Zomaya",Energy-Efficient Deterministic Routing Protocols in Radio Networks.
"Bernd Korn, Hans-Ullrich Doehler, Peter Hecker",Weather Independent Flight Guidance: Analysis of MMW Radar Images for Approach and Landing.
"Veronika Vogelhuber, Cordelia Schmid",Face Detection Based on Generic Local Descriptors and Spatial Constraints.
"Javier Ruiz-del-Solar, Daniel Kottow",Neural-Based Architectures for the Segmentation of Textures.
"Jiri Matas, Miroslav Hamouz, K. Jonsson, Josef Kittler, Yongping Li, Constantine Kotropoulos, Anastasios Tefas, Ioannis Pitas, Teewoon Tan, Hong Yan, Fabrizio Smeraldi, N. Capdevielle, Wulfram Gerstner, Y. Abdeljaoued, Josef Bigün, S. Ben-Yacoub, E. Mayoraz",Comparison of Face Verification Results on the XM2VTS Database.
"Jian Cheng, Siegbert Drüe, Georg Hartmann, Jörg Thiem",Efficient Detection and Extraction of Color Objects from Complex Scenes.
"Dmitry Chetverikov, Marcell Nagy, Judit Verestóy",Comparison of Tracking Techniques Applied to Digital PIV.
"Takio Kurita, Masaru Tanaka, Kazuhiro Hotta, Hiroyuki Shimai, Taketoshi Mishima",Efficient Face Detection from News Images by Adaptive Estimation of Prior Probabilities and Ising Search.
"Thierry Artières, J.-M. Marchand, Patrick Gallinari, Bernadette Dorizzi",Multi-Modal Segmental Models for On-Line Handwriting Recognition.
"Andrew Griffin, Josef Kittler",Coping with 3D Artifacts in Video Sequences.
"Sarah V. Porter, Majid Mirmehdi, Barry T. Thomas",Video Cut Detection using Frequency Domain Correlation.
Tyng-Luh Liu,A Generalized Shape-Axis Model for Planar Shapes.
"Qing Lu, Tianzi Jiang",A New Bayesian Approach to Image Denoising with a Combination of MRFs and Pixon Method.
"Yoshihiko Muto, Hirokazu Nagase, Yoshihiko Hamamoto",Evaluation of a Modified Parzen Classifier in High Dimensional Spaces.
"Jiankang Wang, Xiaobo Li",Guiding Ziplock Snakes with a priori Information.
"Niklas Lüdtke, Richard C. Wilson, Edwin R. Hancock",Population Codes for Orientation Estimation.
"George Gagaudakis, Paul L. Rosin, Chaomei Chen",Using CBIR and Pathfinder Networks for Image Database Visualization.
"Ruizhen Liu, Tieniu Tan",Content-Based Watermarking Model.
"Selim Aksøy, Ming Ye, Michael L. Schauf, Mingzhou Song, Yalin Wang, Robert M. Haralick, Jim R. Parker, Juraj Pivovarov, Dominik Royko, Changming Sun, Gunnar Farnebäck",Algorithm Performance Contest.
"Pengyu Hong, Thomas S. Huang, Matthew Turk",Constructing Finite State Machines for Fast Gesture Recognition.
"Luigi P. Cordella, Pasquale Foggia, Carlo Sansone, Mario Vento",Fast Graph Matching for Detecting CAD Image Components.
"François Deschènes, Djemel Ziou",Detection of Line Junctions in Gray-Level Images.
"José Ruiz-Pinales, Eric Lecolinet",Cursive Handwriting Recognition Using the Hough Transform and a Neural Network.
"Bin Luo, Edwin R. Hancock",Symbolic Graph Matching Using the EM Algorithm and Singular Value Decomposition.
"Pierre Kornprobst, Gérard G. Medioni",A 2D + t Tensor Voting Based Approach for Tracking.
"A. Nedzved, Sergey Ablameyko, I. Pitas",Morphological Segmentation of Histology Cell Images.
"W. X. Wang, O. Stephansson, S. C. Wang",On-Line System Setup in a Cellar of a Flotation Plant.
"Bogdan Matei, Peter Meer",Reduction of Bias in Maximum Likelihood Ellipse Fitting.
Kaoru Uchida,Fingerprint-Based User-Friendly Interface and Pocket-PID for Mobile Authentication.
"Adnan El-Nasan, George Nagy",Ink-Link.
"Atsuhiro Kojima, Masao Izumi, Takeshi Tamura, Kunio Fukunaga",Generating Natural Language Description of Human Behavior from Video Images.
"M. J. Carreira, Majid Mirmehdi, B. T. Thomas, John F. Haddon",Grouping of Directional Features Using an Extended Hough Transform.
"Jaume Vergés-Llahí, Alberto Sanfeliu, Joan Climent",Color Image Segmentation Solving Hard-Constraints on Graph Partitioning Greedy Algorithms.
"David López Vilariño, Diego Cabello, Xose Manuel Pardo, Victor M. Brea",Pixel-Level Snakes.
"C. C. Leung, F. H. Y. Chan, Paul C. K. Kwok, W. F. Chen",Thyroid Cancer Cells Boundary Location by a Fuzzy Edge Detection Method.
Yasuaki Nakano,Needs and Seeds in Character Recognition.
"Teewoon Tan, Hong Yan",Object Recognition Using Fractal Neighbor Distance: Eventual Convergence and Recognition Rates.
"Sameer Antani, David Crandall, Rangachar Kasturi",Robust Extraction of Text in Video.
"Paul S. Bradley, Cory Reina, Usama M. Fayyad",Clustering Very Large Databases Using EM Mixture Models.
"Simon M. Lucas, Kostas Sarampalis",Automatic Evaluation of Algorithms over the Internet.
Akira Ishii,3-D Shape Measurement Using a Focused-Section Method.
"Miguel Angel García, Boris Xavier Vintimilla",Acceleration of Thresholding and Labeling Operations through Geometric Processing of Gray-Level Images.
Horst Bunke,Recent Developments in Graph Matching.
"Weiyu Zhu, Stephen E. Levinson",Edge Orientation-Based Multi-View Object Recognition.
"Douglas Ayers, Rama Chellappa",Scenario Recognition from Video Using a Hierarchy of Dynamic Belief Networks.
"Alexander Selb, Horst Bischof, Ales Leonardis",Fuzzy C-Means in an MDL-Framework.
"Onno Wink, Wiro J. Niessen, Max A. Viergever",Minimum Cost Path Determination Using a Simple Heuristic Function.
"Hiroaki Bessho, Yoshio Iwai, Masahiko Yachida",Detecting Human Face and Recognizing Facial Expressions Using Potential Net.
"Changjiang Yang, Fengmei Sun, Zhanyi Hu",Planar Conic Based Camera Calibration.
"Sami Brand, Jorma Laaksonen, Erkki Oja",Statistical Shape Features in Content-Based Image Retrieval.
"ZhongYang Huang, Kap Luk Chan, Yong Huang",Local Spectra Features Extraction Based-On 2D Pseudo-Wigner Distribution for Texture Analysis.
"Lothar Hermes, Joachim M. Buhmann",Feature Selection for Support Vector Machines.
"Ulrich Büker, Georg Hartmann",Object Representation: On Combining Viewer-Centered and Object-Centered Elements.
"Atef Kacem, Abdel Belaïd, Mohamed Ben Ahmed",Embedded Formulas Extraction.
"Kyongil Yoon, Daniel DeMenthon, David S. Doermann",Event Detection from MPEG Video in the Compressed Domain.
"Dejan Tomazevic, Bostjan Likar, Franjo Pernus",A Comparison of Retrospective Shading Correction Techniques.
"Thomas Bülow, Reinhard Klette",Rubber Band Algorithm for Estimating the Length of Digitized Space-Curves.
Raul Sanchez-Reillo,Hand Geometry Pattern Recognition through Gaussian Mixture Modeling.
"Hye-Yeon Kim, Jooyoung Park, Seong-Whan Lee",A New Methodology to the Design of Associative Memories Based on Cellular Neural Networks.
Jochen Wingbermühle,Robust Registration of Coarse Binary Volume Models.
"P. C. Smits, A. Annoni",Cost-Based Feature Subset Selection for Interactive Image Analysis.
"Jakob Vogdrup Hansen, Tom Heskes",General Bias/Variance Decomposition with Target Independent Variance of Error Functions Derived from the Exponential Family of Distributions.
"Kenji Nakamura, Hideo Saito, Shinji Ozawa",3D Reconstruction of Book Surface Taken from Image Sequence with Handy Camera.
"Tze-kin Lao, Kin-hong Wong, Kam-sum Lee, Siu-Hang Or",Creating Virtual Walkthrough Environment from Vertical Panoramic Mosaic.
"Jean-Christophe Terrillon, Daniel McReynolds, Mohamed Sadek, Yunlong Sheng, Shigeru Akamatsu",Invariant Neural-Network Based Face Detection with Orthogonal Fourier-Mellin Moments.
"Herbert Tesser, Theodosios Pavlidis",RoadFinder Front End: An Automated Road Extraction System.
"Michel A. Westenberg, J. B. T. M. Roerdink",X-Ray Volume Rendering by Hierarchical Wavelet Splatting.
"Toru Wakahara, Yoshimasa Kimura",Affine-Invariant Gray-Scale Character Recognition Using GAT Correlation.
Jairo Rocha,Efficient Polygonal Decomposition into Singular and Regular Regions via Voronoi Diagrams.
"Rocio Diaz de Leon, Luis Enrique Sucar",Human Silhouette Recognition with Fourier Descriptors.
"Jayashree Subrahmonia, Thomas Zimmerman",Pen Computing: Challenges and Applications.
"Guillaume-Alexandre Bilodeau, Robert Bergevin",Generic Modeling of 3D Objects from Single 2D Images.
"Yasuyo Kita, Nobuyuki Kita, Dale L. Wilson, J. Alison Noble",A Quick 3D-2D Registration Method for a Wide-Range of Applications.
Jean Serra,Is Pattern Recognition a Physical Science?.
"Scott D. Connell, R. M. K. Sinha, Anil K. Jain",Recognition of Unconstrained On-Line Devanagari Characters.
"Young-Kyu Lim, Song-Ha Choi, Seong-Whan Lee",Text Extraction in MPEG Compressed Video for Content-Based Indexing.
"Shai Policker, Amir B. Geva",A New Algorithm for Time Series Prediction by Temporal Fuzzy Clustering.
"Dinggang Shen, Horace Ho-Shing Ip, Eam Khwang Teoh",Robust Detection of Skewed Symmetries.
"Richard C. Wilson, Niklas Lüdtke",Decoding Population Codes.
Jiang Yu Zheng,A Flexible Laser Range Sensor Based on Spatial-temporal Analysis.
"Gerd Maderlechner, Angela Schreyer, Peter Suda",Extraction of Relevant Information from Document Images Using Measures of Visual Attention.
"Sumer Jabri, Zoran Duric, Harry Wechsler, Azriel Rosenfeld",Detection and Location of People in Video Images Using Adaptive Fusion of Color and Edge Information.
"Kazuhito Murakami, Masafumi Tominaga, Hiroyasu Koshimizu",An Interactive Facial Caricaturing System Based on the Gaze Direction of Gallery.
"D. Borghys, C. Perneel, Marc Acheroy",A Multi-Variate Contour Detector for High-Resolution Polarimetric SAR Images.
"Gérard G. Medioni, Alexandre R. J. François",3-D Structures for Generic Object Recognition.
"Etienne G. Huot, Hussein M. Yahia, Isabelle Herlin, Isaac Cohen",A General Surface Matching Model: Application to Ground Evolution Tracking.
"Jun Fujiki, Takeshi Kurata",Recursive Factorization Method for the Paraperspective Model Based on the Perspective Projection.
"Etienne Grossmann, José Santos Victor",A Closed-Form Solution for Paraperspective Reconstruction.
"T. Hasegawa, H. Yasuda, T. Matsumoto",Fast Discrete HMM Algorithm for On-line Handwriting Recognition.
"David S. Doermann, David Mihalcik",Tools and Techniques for Video Performance Evaluation.
"Peter Kruizinga, Nikolay Petkov",A Nonlinear Texture Operator Specialized in the Analysis of Dot-Patterns.
"Dmitry Lagunovsky, Maria Frucci, Gabriella Sanniti di Baja",Image Processing Tools for Fresco Restoration.
"Jaesik Min, Mark W. Powell, Kevin W. Bowyer",Progress in Automated Evaluation of Curved Surface Range Image Segmentation.
"David Lloret, Joan Serrat, Antonio M. López, Andrés Soler, Juan J. Villanueva",Retinal Image Registration Using Creases as Anatomical Landmarks.
"A. Weigel, T. Jäger, A. Pies",Estimation of Probabilities for Edit Operations.
"José L. Pérez-Córdoba, Antonio Rubio, Victoria E. Sánchez, Angel de la Torre",Channel Optimized Matrix Quantizer (COMQ) in CELP Coding.
"Masaki Onishi, Masao Izumi, Kunio Fukunaga",Blackboard Segmentation Using Video Image of Lecture and Its Applications.
"John A. Williams, Mohammed Bennamoun",Evaluation of a Novel Multiple Point Set Registration Algorithm.
"Jörg Dahmen, Daniel Keysers, Mark Oliver Güld, Hermann Ney",Invariant Image Object Recognition Using Mixture Densities.
"Jörg A. Walter, Bert Arnrich",Gabor Filters for Object Localization and Robot Grasping.
